,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
13507,172.16.1.52,172.16.1.196,648.0,1612984548.0,100.0,1,1.0,0.2688796680497925
8959,172.16.1.52,172.16.1.196,741.0,1612983080.0,100.0,1,1.0,0.3074688796680498
13506,172.16.1.196,172.16.1.52,648.0,1612984548.0,100.0,1,1.0,0.2688796680497925
13459,172.16.1.52,172.16.1.196,418.0,1612984540.0,100.0,1,1.0,0.17344398340248962
13458,172.16.1.196,172.16.1.52,418.0,1612984540.0,100.0,1,1.0,0.17344398340248962
13452,172.16.1.52,172.16.1.196,635.0,1612984537.0,100.0,1,1.0,0.26348547717842324
13451,172.16.1.196,172.16.1.52,635.0,1612984537.0,100.0,1,1.0,0.26348547717842324
8997,172.16.1.196,172.16.1.52,669.0,1612983088.0,100.0,1,1.0,0.27759336099585064
8998,172.16.1.52,172.16.1.196,669.0,1612983088.0,100.0,1,1.0,0.27759336099585064
9005,172.16.1.196,172.16.1.52,609.0,1612983093.0,100.0,1,1.0,0.25269709543568464
9006,172.16.1.52,172.16.1.196,609.0,1612983093.0,100.0,1,1.0,0.25269709543568464
13420,172.16.1.52,172.16.1.196,653.0,1612984528.0,100.0,1,1.0,0.270954356846473
13418,172.16.1.196,172.16.1.52,653.0,1612984528.0,100.0,1,1.0,0.270954356846473
13513,172.16.1.52,172.16.1.196,659.0,1612984549.0,100.0,1,1.0,0.27344398340248965
8937,172.16.1.196,172.16.1.52,1224.0,1612983056.0,100.0,1,1.0,0.5078838174273859
9224,172.16.1.52,172.16.1.196,676.0,1612983157.0,100.0,1,1.0,0.2804979253112033
13547,172.16.1.196,172.16.1.52,870.0,1612984560.0,100.0,1,1.0,0.36099585062240663
8832,172.16.1.196,172.16.1.52,435.0,1612983033.0,100.0,1,1.0,0.18049792531120332
8834,172.16.1.52,172.16.1.196,435.0,1612983033.0,100.0,1,1.0,0.18049792531120332
13658,172.16.1.52,172.16.1.196,1278.0,1612984588.0,100.0,1,1.0,0.5302904564315353
13656,172.16.1.196,172.16.1.52,1278.0,1612984588.0,100.0,1,1.0,0.5302904564315353
8855,172.16.1.196,172.16.1.52,682.0,1612983041.0,100.0,1,1.0,0.2829875518672199
8856,172.16.1.52,172.16.1.196,682.0,1612983041.0,100.0,1,1.0,0.2829875518672199
13616,172.16.1.52,172.16.1.196,689.0,1612984577.0,100.0,1,1.0,0.2858921161825726
13614,172.16.1.196,172.16.1.52,689.0,1612984577.0,100.0,1,1.0,0.2858921161825726
8895,172.16.1.196,172.16.1.52,497.0,1612983044.0,100.0,1,1.0,0.20622406639004148
13606,172.16.1.52,172.16.1.196,653.0,1612984576.0,100.0,1,1.0,0.270954356846473
13603,172.16.1.196,172.16.1.52,653.0,1612984576.0,100.0,1,1.0,0.270954356846473
8899,172.16.1.52,172.16.1.196,497.0,1612983044.0,100.0,1,1.0,0.20622406639004148
13562,172.16.1.52,172.16.1.196,842.0,1612984562.0,100.0,1,1.0,0.34937759336099583
13561,172.16.1.196,172.16.1.52,842.0,1612984562.0,100.0,1,1.0,0.34937759336099583
13549,172.16.1.52,172.16.1.196,870.0,1612984560.0,100.0,1,1.0,0.36099585062240663
13411,172.16.1.52,172.16.1.196,618.0,1612984525.0,100.0,1,1.0,0.2564315352697095
13410,172.16.1.196,172.16.1.52,618.0,1612984525.0,100.0,1,1.0,0.2564315352697095
13396,172.16.1.52,172.16.1.196,452.0,1612984520.0,100.0,1,1.0,0.187551867219917
13395,172.16.1.196,172.16.1.52,452.0,1612984520.0,100.0,1,1.0,0.187551867219917
13224,172.16.1.52,172.16.1.196,653.0,1612984478.0,100.0,1,1.0,0.270954356846473
13220,172.16.1.196,172.16.1.52,653.0,1612984478.0,100.0,1,1.0,0.270954356846473
13213,172.16.1.52,172.16.1.196,681.0,1612984477.0,100.0,1,1.0,0.2825726141078838
13212,172.16.1.196,172.16.1.52,681.0,1612984477.0,100.0,1,1.0,0.2825726141078838
9182,172.16.1.196,172.16.1.52,849.0,1612983144.0,100.0,1,1.0,0.3522821576763486
9184,172.16.1.52,172.16.1.196,849.0,1612983144.0,100.0,1,1.0,0.3522821576763486
9187,172.16.1.196,172.16.1.52,598.0,1612983145.0,100.0,1,1.0,0.24813278008298756
9189,172.16.1.52,172.16.1.196,598.0,1612983145.0,100.0,1,1.0,0.24813278008298756
13180,172.16.1.52,172.16.1.196,571.0,1612984464.0,100.0,1,1.0,0.23692946058091285
13179,172.16.1.196,172.16.1.52,571.0,1612984464.0,100.0,1,1.0,0.23692946058091285
13166,172.16.1.52,172.16.1.196,889.0,1612984461.0,100.0,1,1.0,0.36887966804979255
13164,172.16.1.196,172.16.1.52,889.0,1612984461.0,100.0,1,1.0,0.36887966804979255
